year,make,model,variant,Body Type,No. of Seats,Build Date,Compliance Date,VIN,Registration No,Registration State,Registration Expiry Date,No. of Plates,No. of Cylinders,Engine Capacity,Fuel Type,Transmission,Indicated Odometer Reading,Odometer Measurement,Exterior Colour,Interior Colour,Key,Spare Key,Owners Manual,Service History,Engine Turns Over,Location,date,bids,price,url
2013,Dodge,Journey,SXT Automatic 7 Seats Wagon,Wagon,7,2013-05,2014-01,3C4PDCJG3DT714794,1BJ8UI,VIC,27-05-2025,2,6,3.6,Petrol,Automatic,134890,kilometre,Silver,Black,Yes,No,No,No,Yes,VIC,2025-07-06,51,3100.0,https://www.grays.com/lot/0001-21050849/motor-vehicles-motor-cycles/2013-dodge-journey-sxt-automatic-7-seats-wagon
2012,FORD,FOCUS,Trend LW II Manual Hatchback,Hatchback,5,2012-12,2012-12,MPB1XXMXB1CT22014,ZKR176,VIC,15-07-2025,2,4,2.0,Petrol,Manual,267901,kilometre,Silver,Grey,Yes,Yes,Yes,Yes,Yes,VIC,2025-07-06,20,1609.0,https://www.grays.com/lot/0001-21051780/motor-vehicles-motor-cycles/2012-ford-focus-trend-lw-ii-manual-hatchback
2022,Toyota,Kluger,4X2 GXL GSU70R Auto - 8 Speed 7 Seats Wagon (EX-GOV),Wagon,7,2022-09,2022-09,5TDLZ3AH50S138686,1XG4DJ,VIC,30-06-2025,2,6,3.5,Petrol,Automatic - 8 Speed,89244,kilometre,White,Black Leather,Yes,Yes,Yes,Yes,Yes,VIC,2025-07-06,204,36900.0,https://www.grays.com/lot/0001-21051646/motor-vehicles-motor-cycles/2022-toyota-kluger-4x2-gxl-gsu70r-auto-8-speed-7-seats-wagon-ex-gov
2015,Hyundai,i30,Active GD Automatic Hatchback,Hatchback,5,2015-12,2016-04,KMHD251EMHU324927,1GL1QW,VIC,14-04-2026,2,4,1.8,Petrol,Automatic,211464,kilometre,White,Black,Yes,Yes,Yes,Yes,Yes,VIC,2025-07-06,19,6100.0,https://www.grays.com/lot/0001-21051756/motor-vehicles-motor-cycles/2015-hyundai-i30-active-gd-automatic-hatchback
2021,Suzuki,S-CROSS,Turbo JY Automatic Hatchback,Hatchback,5,2021-01,2021-03,TSMJYAA2S00802367,1TP1AD,VIC,08-07-2025,2,4,1.4,Petrol,Automatic,154193,kilometre,White,Black,Yes,No,Yes,Yes,Yes,VIC,2025-07-06,1,9009.0,https://www.grays.com/lot/0001-21051775/motor-vehicles-motor-cycles/2021-suzuki-s-cross-turbo-jy-automatic-hatchback
2005,Mazda,Tribute,Limited Sport Automatic SUV,SUV,5,2005-02,2005-06,JM0CU081Y41208245,TRD013,VIC,?,2,6,3.0,Petrol,Automatic,245314,kilometre,Silver,Grey,Yes,No,Yes,Yes,Yes,VIC,2025-07-06,7,609.0,https://www.grays.com/lot/0001-21051741/motor-vehicles-motor-cycles/2005-mazda-tribute-limited-sport-automatic-suv
2010,Audi,Q5,S-Line 3.0 TDI Quattro 8R Turbo Diesel Automatic Wagon,Wagon,5,2010-11,2011-01,WAUZZZ8R6BA043112,YDD833,VIC,14-04-2026,2,6,3.0,Diesel,Automatic,240699,kilometre,Black,Black Leather,Yes,No,No,No,Yes,VIC,2025-07-06,71,5000.0,https://www.grays.com/lot/0001-21051632/motor-vehicles-motor-cycles/2010-audi-q5-s-line-3-0-tdi-quattro-8r-turbo-diesel-automatic-wagon
2014,Ford,Focus,Ambiente LW II Automatic Sedan,Sedan,5,2014-03,2014-04,MPB2XXMXB2ES61327,No plates,?,?,0,4,1.6,Petrol,Automatic,137662,kilometre,Silver,Black,Yes,No,No,No,Yes,VIC,2025-07-06,29,3700.0,https://www.grays.com/lot/0001-21051760/motor-vehicles-motor-cycles/2014-ford-focus-ambiente-lw-ii-automatic-sedan
2015,Holden,Caprice,V WN Automatic Sedan,Sedan,5,2015-09,2015-09,6G1NP5E41FL147392,2CN1OO,VIC,15-07-2025,2,6,3.6,LPG,Automatic,"111092 - Odometer discrepancy detected, see attached history report.",kilometre,Silver,Black Leather,Yes,Yes,Yes,Yes,Yes,VIC,2025-07-06,76,6800.0,https://www.grays.com/lot/0001-21051687/motor-vehicles-motor-cycles/2015-holden-caprice-v-wn-automatic-sedan
2009,Toyota,Kluger,Grande (4x4) GSU45R Automatic 7 Seats Wagon,Wagon,7,2009-12,2009-12,JTEES42AX02156950,XLK522,VIC,19-01-2026,2,6,3.5,Petrol,Automatic,285883,kilometre,White,Cream Leather,Yes,Yes,Yes,Yes,Yes,VIC,2025-07-06,76,6600.0,https://www.grays.com/lot/0001-21051782/motor-vehicles-motor-cycles/2009-toyota-kluger-grande-4x4-gsu45r-automatic-7-seats-wagon
2019,BMW,7,30d G11 LCI Turbo Diesel Auto M-Sport- 8 Speed Sedan,Sedan,5,2019-07,2019-11,WBA7S22020BS86985,No Plates,?,?,0,6,3.0,Diesel,Automatic - 8 Speed,246708,kilometre,Black,Black,Yes,No,No,Yes,Yes,VIC,2025-07-06,359,43400.0,https://www.grays.com/lot/0001-21051783/motor-vehicles-motor-cycles/2019-bmw-7-30d-g11-lci-turbo-diesel-automatic-8-speed-sedan
2006,Land,Rover,Discovery 3 SE Series III T/D Auto 7 Seats Wagon,Wagon,7,2006-08,2006-10,SALLAAA136A410225,1EL3AI,VIC,31-10-2025,2,6,2.7,Diesel,Automatic,278427,kilometre,Silver,Black Leather,Yes,No,Yes,Yes,Yes,VIC,2025-07-06,37,2700.0,https://www.grays.com/lot/0001-21051689/motor-vehicles-motor-cycles/2006-land-rover-discovery-3-se-series-iii-t-d-auto-7-seats-wagon
2016,Mitsubishi,ASX,LS 2WD XB CVT Wagon,Wagon,5,2016-06,2016-06,JMFXTGA2WFZC17826,?,?,?,0,4,2.0,Petrol,CVT,156133,kilometre,Grey,Grey,Yes,Yes,Yes,Yes,Yes,QLD,2025-07-06,74,5309.0,https://www.grays.com/lot/0001-50712241/motor-vehicles-motor-cycles/2016-mitsubishi-asx-ls-2wd-xb-cvt-wagon
2017,Skoda,Octavia,RS 169TSI NE Automatic Wagon,Wagon,5,2017-05,2017-10,TMBKE9NE0J0094031,APA858,VIC,02-11-2025,2,4,2.0,Petrol,Automatic,225054,kilometre,Red,Black,Yes,Yes,Yes,Yes,Yes,VIC,2025-07-06,62,8900.0,https://www.grays.com/lot/0001-21051693/motor-vehicles-motor-cycles/2017-skoda-octavia-rs-169tsi-ne-automatic-wagon
